Humid,Temp,Condition
44.2187,22.4347,0
43.3307,22.5973,0
42.648,22.7667,0
41.1493,22.8307,0
40.3973,22.9453,0
40.2587,23.1467,0
40.2947,23.312,0
40.5507,23.4867,0
39.9173,23.4827,0
40.6133,23.544,0
39.5053,23.54,0
39.352,23.4,0
39.1587,23.4787,0
39.136,23.4987,0
39.172,23.7453,0
39.0987,23.9347,0
39.3213,23.9827,0
39.5,24.004,0
40.3187,23.964,0
41.544,23.792,0
43.7707,23.5147,0
45.3653,23.212,0
46.9147,22.8307,0
48,22.4987,0
49.2027,22.1867,0
49.84,21.892,0
51.1893,21.6453,0
52.3413,21.428,0
52.36,21.1893,0
52.096,20.98,1
52.8667,20.788,1
54.0587,20.62,1
54.992,20.468,1
55.6507,20.2473,1
55.6853,20.0847,1
55.7973,19.9093,1
55.9173,19.752,1
55.88,19.596,1
56.016,19.4593,1
56.224,19.3567,1
56.1147,19.3027,1
56.12,19.2133,1
56.272,19.1667,1
55.8613,19.082,1
55.5147,18.988,1
55.2987,18.924,1
54.9627,18.8933,1
54.8213,18.8467,1
54.3333,18.752,1
53.8533,18.6433,1
53.6453,18.538,1
53.6613,18.4287,1
53.6773,18.3393,1
53.52,18.228,1
53.0933,18.104,1
52.6027,17.9627,1
52.2827,17.832,1
52.2693,17.7167,1
52.512,17.5853,1
52.8667,17.446,1
53.2427,17.3027,1
53.9573,17.152,1
54.8747,16.834,1
55.1013,16.558,1
55.1173,16.3867,1
55.216,16.2473,1
55.336,16.13,1
55.672,15.996,1
55.8747,15.8673,1
56.1413,15.7453,1
55.9333,15.596,1
55.5253,15.494,1
55.3307,15.38,1
55.248,15.2787,1
55.176,15.1513,1
55.1467,15.0767,1
55.464,14.98,1
55.5707,14.9033,1
55.5627,14.9133,1
55.5413,14.9687,1
55.0293,15.092,1
54.064,15.2587,1
53.4987,15.4673,1
52.712,15.742,1
52.728,16.042,1
52.0533,16.4367,1
51.736,16.9633,1
51.072,17.4787,1
50.5147,17.9787,1
50.0347,18.536,1
49.3893,19.126,1
48.752,19.6513,1
48.1013,20.17,1
47.5067,20.668,1
47.0107,21.1413,1
46.5493,21.6653,0
45.3333,22.2573,0
43.8693,22.8053,0
42.464,23.3827,0
41.6893,23.9213,0
40.3293,24.3973,0
39.2747,24.912,0
38.4587,25.4627,0
37.9413,26.0373,0
36.348,26.4947,0
35.34,26.872,0
35.0333,27.2013,0
34.2707,27.6107,0
33.3987,27.9347,0
33.1133,28.232,0
30.7693,28.4173,0
30.488,28.512,0
31.0013,28.56,0
30.1813,28.7013,0
